timestamp,iterations,counterexamples,solutions,generator_checks,generator_time,verifier_ideal_checks,verifier_ideal_time,verifier_adv_checks,verifier_adv_time
1675718704.6341171,1,0,0,0,0,0,0,0,0
1675718722.7502468,2,1,0,1,0.012362957000732422,3,17.687520742416382,0,0
1675718850.7760139,3,2,0,2,4.73541784286499,6,140.4087896347046,0,0
1675718925.0673504,4,3,0,3,38.076162576675415,9,180.7348792552948,0,0
1675718956.2188914,5,4,0,4,64.11149048805237,12,185.2223675251007,0,0
1675719092.373347,6,5,0,5,126.62348556518555,15,258.1219160556793,0,0
1675719257.078919,7,6,0,6,229.02115297317505,18,319.57749915122986,0,0
1675719560.3202105,8,7,0,7,368.0361042022705,27,482.63913345336914,0,0
1675720030.687445,9,8,0,8,558.4100267887115,35,761.113632440567,0,0
1675720281.0811958,10,9,0,9,748.7785842418671,44,819.9220871925354,0,0
1675720651.5459094,11,10,0,10,994.4779689311981,53,943.3323390483856,0,0
1675720880.8687768,12,11,0,11,1155.0518882274628,56,1010.589040517807,0,0
1675721259.9912016,13,12,0,12,1532.2691476345062,59,1010.8919253349304,0,0
1675721996.2798638,14,13,0,13,2125.4815430641174,62,1152.2515020370483,0,0
1675722360.7666311,15,14,0,14,2383.649419784546,65,1256.7057356834412,0,0
1675722842.0167074,16,15,0,15,2772.3436629772186,68,1347.3075563907623,0,0
1675723156.5758367,17,16,0,16,3060.9515516757965,71,1371.1643908023834,0,0
1675723734.1587777,18,17,0,17,3617.7329313755035,74,1389.7541780471802,0,0
1675724666.24407,19,18,0,18,4109.634749412537,80,1827.260836839676,0,0
1675725848.271292,20,19,0,19,5059.722244501114,83,2055.2158682346344,0,0
1675727039.6422384,21,20,0,20,6202.484784603119,86,2099.812017917633,0,0
1675727631.0904377,22,21,0,21,6712.141988515854,89,2177.2306957244873,0,0
1675728401.8016803,23,22,0,22,7431.928181171417,92,2223.399250268936,0,0
1675729628.0172875,24,23,0,23,8538.541768074036,95,2338.4811742305756,0,0
1675731204.6082253,25,24,0,24,9990.30596613884,104,2459.9115674495697,0,0
1675732209.4897063,26,25,0,25,10974.650678396225,111,2475.547436237335,0,0
1675733284.0803392,27,26,0,26,11943.054831027985,114,2578.329414844513,0,0
1675735071.4659796,28,27,0,27,13721.450843572617,124,2583.7472891807556,0,0
1675737696.6406808,29,28,0,28,16237.372247934341,133,2689.3244757652283,0,0
1675742007.0668995,30,29,0,29,20370.15959596634,136,2862.719688653946,0,0
1675744720.037778,31,30,0,30,22768.046674489975,139,3171.491510629654,0,0
1675746949.3605883,32,31,0,31,24861.618736982346,142,3300.663954973221,0,0
1675751234.6168451,33,32,0,32,29139.59285879135,145,3301.2412626743317,0,0
1675753587.1206732,34,33,0,33,31389.184822320938,148,3396.9649782180786,0,0
1675757990.4093308,35,34,0,34,35645.60482573509,156,3536.919193506241,0,0
1675759892.9933193,36,35,0,35,37343.10639977455,159,3737.1572704315186,0,0
1675764011.9265108,37,36,0,36,41455.272585392,162,3738.677221775055,0,0
1675772796.343282,38,37,0,37,50229.362436532974,171,3740.8988966941833,0,0
1675781410.5145502,39,38,0,38,58555.29852962494,172,3816.233249425888,4,204.74136519432068
1675783179.0794728,40,39,0,39,59532.1315100193,173,4010.119884252548,15,796.6731588840485
1675785671.9633958,41,40,0,40,61838.20486974716,182,4191.302827596664,15,796.6731588840485
1675802268.0158308,42,41,0,41,78385.39797973633,185,4232.019607305527,15,796.6731588840485
1675806241.8571942,43,42,0,42,81778.87546110153,186,4489.479864358902,28,1113.7624056339264
1675812616.8746612,44,43,0,43,88028.63356685638,195,4608.835204601288,28,1113.7624056339264
1675824596.0325356,45,44,0,44,99994.65268063545,204,4615.261333227158,28,1113.7624056339264
1675835183.5076368,46,45,0,45,110478.14338111877,207,4710.288561105728,28,1113.7624056339264
1675844972.1300485,47,46,0,46,120197.8002281189,216,4772.900976419449,28,1113.7624056339264
1675849942.916281,48,47,0,47,124977.39923858643,219,4957.720502138138,28,1113.7624056339264
1675861377.986111,49,48,0,48,136205.72419190407,222,5157.586217880249,28,1113.7624056339264
